PropID,Boro,Community Board,Council District,Garden Name,Address,Size,Jurisdiction,NeighborhoodName,Cross Streets,Latitude,Longitude,Postcode,Census Tract,BIN,BBL,NTA
B465,B,B03,36,First Quincy Street GreenThumb Garden,397-401 Quincy Street,0.13,DPR,,Active,40.687717,-73.944139,11221,265,3000000,3018050076,Bedford                                                                    
M358,M,M03,,First Street Garden,48 East 1st Street,0.061,DPR,,Active,40.72384,-73.989772,10003,3602,1000000,1004430053,East Village                                                               
B466,B,B05,42,First Temple of David,494 Bradford Street,0.062,DPR,East New York,Active,40.666585,-73.890635,11207,1126,       ,          ,East New York (Pennsylvania Ave)                                           
M291,M,M01,1,FishBridge Pk. (South-Water-Front Neigh. Assoc.),338-340 Pearl Street,0.1,DPR,Downtown Manhattan,Active,40.709257,-74.00198,10038,1501,1000000,1001060022,Battery Park City-Lower Manhattan                                          
NA,M,M10,9,Five Star Block Association,250-252 West 121st Street,0.083,TPL,Harlem,Adam Clayton Powell & Fredrick Douglas Blvds,40.807004,-73.951621,10027,220,1000000,1019260053,Central Harlem South                                                       
B467,B,B05,37,Floral Vineyard,2379-2385 Pitkin Avenue,0.107,DPR,East New York,Active,40.673578,-73.884567,11207,1150,3000000,3040000031,East New York                                                              
X324,X,X07,15,Fordham Bedford Lot-Busters,2592-2597 Bainbridge Avenue,0.044,DPR/TPL,,Active,40.863711,-73.892599,10458,39901,       ,          ,Bedford Park-Fordham North                                                 
X324,X,X07,15,Fordham Bedford Lot-Busters,2592-2597 Bainbridge Avenue,0.044,TPL/DPR,,Active,40.863711,-73.892599,10458,39901,       ,          ,Bedford Park-Fordham North                                                 
M317,M,M09,7,Frank White Memorial Garden,506-508 West 143rd Street,0.09,DPR,Hamilton Heights,Active,40.824306,-73.949441,10031,229,1000000,1020740045,Hamilton Heights                                                           
X318,X,X03,16,Franklin Memorial Garden,1060-1062 Cauldwell Avenue,0.12,DPR,Morrisania,Active,40.826309,-73.905603,10456,185,       ,          ,Morrisania-Melrose                                                         
NA,M,M07,0,Frederick Douglass Academy HS,2599 Adam Clayton Powell Jr Boulevard,0.197,DOE,,At W. 147th Street,,,,,,,
NA,M,M11,9,Friendly Garden,95 East 111th Street,0.076,HPD,East Harlem,At Park Avenue,40.796245,-73.945843,10029,17402,1000000,1016170035,East Harlem South                                                          
NA,M,M09,7,Friendship Garden (Lucille McClarey Garden),499 West 150th Street,0.038,NYRP,Hamilton Heights,,40.828638,-73.945842,10031,237,1000000,1020820127,Hamilton Heights                                                           
M377,M,M10,,Garden,Fredrick Douglas Blvd. and W. 152ns St,0.046,DPR,,,,,,,,,
B420,B,B03,41,Garden Beautiful,Corner of Broadway & Putnam Ave.,0.194,DPR,Bed-Stuy,Active,,,,,,,
NA,B,B03,41,Garden of Angels,978 Greene Avenue,0.057,TPL,Bed-Stuy,Patchen Avenue & Malcolm X Blvd.,40.690966,-73.928771,11221,387,3000000,3016220032,Stuyvesant Heights                                                         
X297,X,X04,14,Garden of Eden - Bronx,1686 Weeks Avenue,0.21,DPR,,Active,40.844045,-73.907616,10457,22902,2007362,2027920030,Mount Hope                                                                 
X293,X,X06,15,Garden of Happiness,2156-2160 Prospect Avenue,0.33,DPR,Crotona,Active,40.848425,-73.885543,10457,371,2118275,2031100048,East Tremont                                                               
NA,B,B03,36,Garden of Hope,392 Hancock Street,0.046,NYRP,,Throop & Marcus Garvey Blvd,40.683685,-73.939967,11216,275,3414301,3018410014,Stuyvesant Heights                                                         
X298,X,X04,14,Garden of Life,1685 Weeks Avenue,0.18,DPR,,Active,40.844009,-73.907641,10457,22902,2109796,2027930028,Mount Hope                                                                 
M341,M,M10,9,Garden of Love,302 West 116th Street,0.087,DPR,Upper West Side,Active,40.804522,-73.955636,10026,20102,1000000,1018480055,Central Harlem South                                                       
B399,B,B06,38,Garden of Union (Annie's Garden),"634-36, 640 Union Street",0.203,DPR,Park Slope,Active,,,,,,,
NA,X,X06,15,Garden Of Youth,E 182nd Street,NA,PRI,Crotona,At Prospect Avenue,,,,,,,
M071A,M,M09,,Garden People,West 91st and Riverside Drive,NA,DPR,,Active,,,,,,,
M329,M,M03,2,Generation X Cultural Garden,270-272 East 4th Street,0.11,DPR,East Village,Active,40.722906,-73.981662,10009,2601,1000000,1003860021,Lower East Side                                                            
NA,B,B05,42,Genesis Homes Garden,298-304 Snediker Avenue,0.054,DPR,East New York,,40.667834,-73.900611,11207,1134,       ,          ,East New York (Pennsylvania Ave)                                           
Q488,Q,Q12,28,George Eagle Carr Community Garden,148th Street,0.121,DPR,Jamaica,Active,,,,,,,
Q489,Q,Q12,27,George Washington Carver Botanical Garden,109-13 156th Street,0.057,DPR,,Active,40.692461,-73.794877,11433,260,       ,          ,South Jamaica                                                              
NA,M,M12,10,George Washington High School,549 Audubon Avenue,NA,DOE,Washington Heights,W. 190th St & Ft. George-Amstersam Avenue,40.855954,-73.927051,10040,277,1076751,1021600018,Washington Heights North                                                   
NA,Q,Q13,0,P.S. 251Q,144-51 144th Road,0.138,DOE,Springfield Gardens,Arthur Street,,,,,,,
NA,B,B02,0,George Westinghouse HS - Marvin's Garden,"105 Johnson Street (Tech), Brooklyn, NY 11201",NA,DOE,Downtown Brooklyn,Jay & Johnson Street,40.694926,-73.986015,11201,13,3348041,3001310001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
B415,B,B05,42,Georgia Avenue Community Garden,328 New Lots Avenue,0.036,DPR,East New York,Active,40.661178,-73.894558,11207,1128,3000000,3042970001,East New York (Pennsylvania Ave)                                           
B436,B,B16,42,Gethsemane Garden,144 Newport Street,0.046,DPR,Brownsville,Active,40.659215,-73.909847,11212,916,3082592,3036130028,Brownsville                                                                
B468,B,B05,37,Glenmore Hendrix Block Assoc.,555 Glenmore Avenue,0.032,DPR,East New York,Active,40.674105,-73.88988,11207,1152,3000000,3039780035,East New York                                                              
NA,X,X09,,Glover Street Community Garden,"1642 Glover Street, Bronx NY 10462",NA,NYRP,,Intersection of Castle Hill & Glover Street,,,,,,,
B469,B,B05,42,Good Shepherd's Community Group,555-557 Shepherd Avenue,0.114,DPR,East New York,Active,40.670738,-73.879951,11208,1164,3089843,3040530010,East New York                                                              
B428,B,B04,,Goodwin Gardens,46 - 62 Goodwin St.,0.348,DPR,,,,,,,,,
B470,B,B04,37,Granite Street Block Association,28-32 Granite Street,0.172,DPR,Bushwick,Active,40.682511,-73.907811,11207,405,3000000,3034610018,Bushwick South                                                             
NA,X,X04,16,Grant Avenue Garden,1062 Grant Avenue,0.058,TPL,,E. 165th & E. 166th Streets,40.830303,-73.916893,10456,18101,2000000,2024480011,East Concourse-Concourse Village                                           
B058A,B,B01,33,Green Dome,229 North 12th Street,NA,DPR,Greenpoint,Active,40.719516,-73.952969,11211,515,       ,          ,North Side-South Side                                                      
B471,B,B05,37,Green Gems,947-953 Glenmore Avenue,0.494,DPR,East New York,Active,40.676272,-73.875077,11208,1196,3000000,3041910047,East New York                                                              
NA,B,B06,38,Green Space @ President Street,222 5th Avenue,0.045,TPL,Park Slope,At President Street,40.676008,-73.980745,11215,133,3000000,3009550049,Park Slope-Gowanus                                                         
B472,B,B03,36,Greene Avenue United Neighbors Association,490 Greene Avenue,0.046,DPR,,Active,40.688329,-73.951722,11216,243,3000000,3017970057,Bedford                                                                    
Q045A,Q,Q02,26,"LIC Comm. Gardens, Inc.",S/S 49th Avenue./W/O Vernon Boulevard.,0.172,DPR,Long Island City,Active,,,,,,,
NA,B,B02,35,Greene Garden,2 South Portland Avenue,0.084,TPL,,At DeKalb Avenue,40.689322,-73.975044,11217,33,3000000,3020990043,Fort Greene                                                                
B484,B,B05,37,Gregory's Garden (P.S. 158 Memorial Garden),"444,448 Warwick Avenue",0.057,DPR,East New York,Active,,,,,,,
NA,B,B03,,Halsey Ralph and Howard Garden,774 Halsey St.,NA,HPD,,,40.684918,-73.922702,11233,377,3039988,3014930001,Stuyvesant Heights                                                         
B473,B,B03,36,Hancock T & T Block Association,322-324 Hancock Street,0.081,DPR,,Active,40.683344,-73.942924,11216,267,3000000,3018400016,Bedford                                                                    
B527,B,B05,,Hands & Heart (New Lots Urban Farm),New Lots Avenue,NA,DPR,East New York,Active,,,,,,,
X118A,X,X09,18,Harding Park Beautification Project,155 Harding Park,1.16,DPR,,Active,40.807736,-73.857874,10473,2,       ,          ,Soundview-Castle Hill-Clason Point-Harding Park                            
M363,M,M11,9,Harlem Rose Garden,4-8 E 129th Street,0.136,DPR,,Active,40.808821,-73.9401,10035,206,1000000,1017530168,Central Harlem North-Polo Grounds                                          
M297,M,M10,9,Harlem Success Garden - P.S. 175/I.S. 275,116 - 122 West 134th Street,0.25,DPR,Harlem,Active,40.813777,-73.942176,10030,226,1000000,1019180046,Central Harlem North-Polo Grounds                                          
NA,M,M10,21,Harlem Village Green,52 W 129th Street,0.046,PRI,Harlem,,40.809753,-73.94231,10027,208,1000000,1017260064,Central Harlem North-Polo Grounds                                          
NA,B,B03,36,Hart Street Community Garden,169-171 Hart Street,0.092,TPL,Bed-Stuy,Tompkins & Throop,40.693662,-73.94457,11206,261,3000000,3017680066,Bedford                                                                    
B474,B,B03,36,Hart to Hart,104-108 Hart Street,0.332,DPR,Bed-Stuy,Active,40.693312,-73.947474,11206,261,3000000,3017710020,Bedford                                                                    
B400,B,B03,36,Hattie Carthan Community Garden,654 Lafayette Avenue/363-365 Clifton Place,0.117,DPR,Bed-Stuy,Active,,,,,,,
NA,B,B01,34,Heckscher Foundation For Children's Garden,134-136 Scholes Street,0.057,NYRP,Williamsburg,,40.708692,-73.944327,11206,505,3000000,3030430013,East Williamsburg                                                          
NA,B,B05,42,Hendrix Street Community Garden (Block Association of Hendrix Street),532 Hendrix Street,0.023,NYRP,East New York,Blake & Dumont Avenues,40.668485,-73.888314,11207,1160,3090008,3040580121,East New York                                                              
NA,M,M11,8,Herb Garden (111th St. Betterment Association),176 E 111th Street,0.08,NYRP,East Harlem,3rd & Lexington Avenues,40.795069,-73.943106,10029,172,1000000,1016380142,East Harlem South                                                          
B475,B,B05,37,Herbal Garden of East New York,582 - 590 Glenmore Avenue,0.23,DPR,East New York,Active,40.674263,-73.888701,11207,1150,3000000,3039960011,East New York                                                              
NA,M,M04,0,High School For Environmental Studies,444 W 56th Street NY NY 10019,NA,DOE,Midtown,9th & 10th Avenues,40.767791,-73.987531,10019,139,1026841,1010650001,Clinton                                                                    
B047A,B,B05,37,Highland Park Children's Garden,Jamaica Avenue,0.41,DPR,Highland Park,Active,,,,,,,
NA,B,B02,35,Hollenback Community Garden,460 Washington Avenue,0.158,TPL,Clinton Hill,Gates & Greene Avenue,40.685321,-73.965249,11238,199,3000000,3019620069,Clinton Hill                                                               
NA,M,M11,8,Home Depot Community Garden  (St. Mark's Monastery 1),415-421 East 117th Street,0.163,NYRP,East Harlem,1st Avenue & E 117th St,40.79645,-73.934347,10035,178,1000000,1017110008,East Harlem North                                                          
M371,M,M03,1,Hope Garden,193 East 2nd Street,0.046,DPR,East Village,Active,40.722289,-73.984094,10009,3002,1000000,1003970028,East Village                                                               
NA,M,M09,7,Hope Steven Garden,1656 Amsterdam Avenue,0.062,TPL,Hamilton Heights,142nd St & Hamilton Pl & Amsterdam Avenue,40.823414,-73.94895,10031,229,1000000,1020740029,Hamilton Heights                                                           
X346,X,X06,15,Hornaday Community Garden (Volky Flower Garden),851 Hornaday Avenue,0.115,DPR,,Active,,,,,,,
B528,B,B16,41,Howard Garden,750 Howard Avenue,0.219,DPR,Brownsville,Active,40.663636,-73.918957,11212,892,3000000,3035500043,Brownsville                                                                
B413,B,B16,37,Hull Street Community Garden Inc.,196 Hull Street,0.32,DPR,Ocean Hill / Brownsville,Active,40.679912,-73.907566,11233,369,       ,          ,Ocean Hill                                                                 
NA,B,B16,41,Hull Street Playground,145 Hull Street,0.057,NYRP,Bed-Stuy,Hopkinson & Rockaway Avenues,40.679465,-73.911615,11233,371,3000000,3015330049,Ocean Hill                                                                 
M344,M,M11,8,Humacao Community Garden,335 E 108th Street,0.11,DPR,East Harlem,Active,40.791109,-73.939592,10029,170,1089058,1016800021,East Harlem South                                                          
B408,B,B06,39,Human Compass Community  Garden Inc.,207-209 Columbia Street,0.073,DPR,Red Hook,Active,40.684958,-74.002726,11231,51,3000000,3003360010,Carroll Gardens-Columbia Street-Red Hook                                   
NA,M,M12,10,I.S. 143 - Penny Harvest Garden,511 & 516 West 182nd Street,0.08,DOE,Washington Heights,Amsterdam Avenue & Audubon Avenue (Fort George),,,,,,,
NA,X,X06,15,I.S. 193X,1919 Prospect Avenue,0.677,DOE,,,40.843546,-73.889755,10457,36901,2094582,2029510032,East Tremont                                                               
NA,M,M12,7,I.S. 218 - Swindler Cove Garden,Harlem River Drive/Dyckman Street,NA,DOE,Washington Heights,,,,     ,,1000000,1022552000,                                                                           
NA,B,B11,0,I.S. 227 - Shallow's School Yard Santuaries,6500 16th Avenue & 65th Street,NA,DOE,,Same,,,,,,,
NA,B,B05,42,I.S. 311 - The Essence School,"800 Van Siclen Avenue, Brooklyn, NY 11207",NA,DOE,,Linden Blvd.,40.66011,-73.885387,11207,1104,3097675,3043490050,East New York                                                              
NA,B,B12,39,I.S. 62 - The Greening of Ditmas,700 Cortelyou Road,NA,DOE,Kensington,East 7th & Ditmas,40.638686,-73.971651,11218,490,3126842,3053910001,Kensington-Ocean Parkway                                                   
NA,B,B01,33,I.S. 71,215 Heyward Street,NA,TPL/DOE,Williamsburg,Marcy Avenue & Harrision Street,40.703624,-73.953146,11206,529,3061064,3022270001,Williamsburg                                                               
NA,M,M12,0,I.S. 90 Miracle Sisters Garden,"21 Jumel Place, NY NY 10032",NA,DOE,Washington Heights,Edgecome Avenue - 167th/169th St,40.839305,-73.936159,10032,249,1076741,1021120058,Washington Heights South                                                   
NA,B,B11,44,I.S. 96,99 Avenue P,NA,DOE,,,40.60754,-73.984661,11204,430,3174076,3065950033,Bensonhurst East                                                           
NA,B,B08,41,Imani II Garden (Schenectady Avenue Community Garden),87-91 Schenectady Avenue,0.092,HPD,Crown Heights,,40.676312,-73.933182,11213,309,3000000,3013420005,Crown Heights North                                                        
X314,X,X01,17,Isla Verde Garden,625 Wales Avenue,0.16,DPR,,Active,40.814909,-73.906522,10455,73,2127170,2026430050,Melrose South-Mott Haven North                                             
NA,X,X03,16,J.H.S. 120,890 Cauldwell Avenue,NA,DOE,,,40.822474,-73.907194,10456,185,2004496,2026310048,Morrisania-Melrose                                                         
NA,B,B02,35,J.H.S. 265,101 Park Avenue,2.712,DOE,,N. Portland/Flushing,40.696324,-73.97578,11205,211,3057942,3020280001,Fort Greene                                                                
M364,M,M11,8,Jackie Robinson Community Garden,103 East 122nd Street,0.058,DPR/HPD,,Active,40.803013,-73.940152,10035,196,1000000,1017710005,East Harlem North                                                          
X319,X,X03,16,Jackson Forest/Morrisania Concerned Citizens,722 & 736 Home Street,0.18,DPR,Morrisania,Active,,,,,,,
NA,X,X03,16,Jacqueline Denise Davis Garden,1022-1024 Boston Road (north of E 165th Street),0.223,TPL,,165th Street & Cauldwell Avenue,40.825997,-73.906723,10456,185,2000000,2026220037,Morrisania-Melrose                                                         
NA,X,X03,0,Jane Adams Vocational H.S. - 4 Seasons Garden,900 Tinton Avenue,NA,DOE,,163rd & E. 161st Street,40.821675,-73.903546,10456,133,2004807,2026680001,Morrisania-Melrose                                                         
NA,B,B03,36,Jane Bailey Memorial Garden,327-329 Greene Avenue,0.094,NYRP,,Franklin & Classon,40.687596,-73.958223,11238,233,3000000,3019530057,Bedford                                                                    
X320,X,X03,15,Jardin de la Familia,1507 Washington Avenue,0.32,DPR,,Active,40.837907,-73.903201,10457,169,2000000,2029030037,Claremont-Bathgate                                                         
NA,X,X03,17,Jardin la Roca/Rock Garden,160 Elton Avenue,NA,DPR,Melrose,East 159 & East 160th,,,,,,,
B477,B,B05,24,Jerome Gardens,447 Jerome Street,0.036,DPR,,Active,40.670461,-73.886004,11207,1162,3089738,3040460120,East New York                                                              
B478,B,B05,37,Jerry and the Senior Gents of E.N.Y.,349 Schenck Avenue,0.057,DPR,East New York,Active,40.672292,-73.888329,11207,1150,3000000,3040120004,East New York                                                              
B511,B,B16,1,Jes Good Rewards Children's Garden,155 Amboy Street,0.213,DPR,Brownsville,Active,40.667016,-73.91396,11212,902,3406857,3035180001,Brownsville                                                                
NA,X,X08,10,JFK High School - Enchanted Garden,JFK High School 99 Terrace View Avenue,NA,DOE,Marble Hill,Tibbet Avenue/ 230th Street,,,,,,,
NA,X,X12,15,Jim Mackey Eastchester Road Community Garden,E/S Eastchester Road & N/O E 222nd Street,0.046,NYRP,,,,,,,,,
R146,R,R01,49,Joe Holzka Community Garden,1161 Castleton Avenue,0.429,DPR,,Active,40.634234,-74.12114,10310,13302,5112951,5001970135,West New Brighton-New Brighton-St. George                                  
NA,Q,Q08,0,John Bowne High School,"63-25 Main Street  Flushing, NY 11367",2.296,DOE,,Reeves Avenue & Gravett Rd,40.738139,-73.824944,11367,809,4439900,4065070001,Kew Gardens Hills                                                          
NA,B,B06,38,John Jay High School,"237 7th Avenue.  Brooklyn, NY 11215",0.689,DOE,Park Slope,corner of 7th & 5th Street,40.669629,-73.979287,11215,155,3025510,3010820001,Park Slope-Gowanus                                                         
NA,B,B03,34,John the Baptist Community Center Inc.,10 Stuyvesant Avenue,0.076,TPL,,,40.696355,-73.93473,11221,287,3000000,3015860041,Stuyvesant Heights                                                         
B509,B,B05,37,Jordan Magic Garden - DPR,Belmont Ave & Van Siclen Ave,0.115,DPR,East New York,Active,,,,,,,
NA,X,X03,0,Jose Gonzalez House Community Garden,1175 Hoe Avenue,NA,PRI,,Home & E.167th Street,40.827899,-73.890901,10459,125,2117582,2027450030,Morrisania-Melrose                                                         
M351,M,M10,9,Joseph Daniel Wilson Memorial Gardens,219 W. 122nd Street,0.06,DPR,,Active,40.807407,-73.950588,10027,222,1000000,1019280023,Central Harlem South                                                       
M345,M,M03,2,Kenkeleba House Garden,212 E. 3rd Street,0.31,DPR,East Village,Active,40.722502,-73.982582,10009,2202,1000000,1003850011,Lower East Side                                                            
B398,B,B03,36,Kosciusko St. Comm. Pk./Learning Center,385-389 Kosciusko Street,0.185,DPR,Bed-Stuy,Active,40.692034,-73.93917,11221,281,3000000,3016010063,Stuyvesant Heights                                                         
X266A,X,X06,15,Krystal Community Garden,2085-2093 Vyse Avenue.,0.614,DPR,,Active,40.843482,-73.88086,10460,363,2118291,2031270070,East Tremont                                                               
NA,M,M11,8,La Casita,223 E. 119th Street,0.057,NYRP,East Harlem,2nd & 3rd Avenue,40.799606,-73.937894,10035,194,1000000,1017840011,East Harlem North                                                          
M383,M,M11,8,La Cuevita Community Garden,71 East 115th Street,0.057,DPR,East Harlem,Active,40.798797,-73.944151,10029,184,1000000,1016210030,East Harlem North                                                          
X145,X,X01,,La Finca Del Sur/ South Bronx Farmers,138th & Grand Concourse,0.255,DPR/MTA/DOT,,Active,,,,,,,
NA,B,B04,34,La Finea,1036 Flushing Avenue,NA,TPL,,Knickerbocker Avenue  & Vandervoort Pl.,40.704359,-73.929634,11237,427,3251846,3031550020,Bushwick North                                                             
X327,X,X04,16,La Isla,96-98 W. 163rd Street,0.11,DPR,Highbridge,Active,40.832115,-73.929249,10452,189,2000000,2025110065,Highbridge                                                                 
M373,M,M07,8,La Perla Garden,76 W. 105th Street,0.036,DPR,Upper West Side,Active,40.798286,-73.962719,10025,189,1000000,1018400061,Upper West Side                                                            
M325,M,M03,2,La Plaza Cultural-Armando Perez,632-650 E. 9th Street,0.64,DPR,East Village,Active,40.725815,-73.979248,10009,2602,1000000,1003910023,Lower East Side                                                            
NA,M,M02,2,LaGuardia Corner Community Garden,511 LaGuardia Place,0.08,DOT,Greenwich Village,Bleecker & Houston Streets.,40.727809,-73.999159,10012,5501,1008242,1005240009,West Village                                                               
X328,X,X04,16,Las Casitas Community Garden,1126 - 1140 Woodycrest Avenue,0.19,DPR,Highbridge,Active,40.835464,-73.925809,10452,199,2091252,2025090036,Highbridge                                                                 
X337,X,X01,17,Latinos Unidos,427 East 157th Street,0.116,DPR,,Active,40.821362,-73.914154,10451,69,2000000,2023790030,Melrose South-Mott Haven North                                             
NA,X,X05,0,Learning Tree,1885 University Avenue (behind Calvary Methodist Church),NA,PRI,,W. Burnside & W. Tremont,40.852536,-73.913333,10453,24501,2009056,2028790035,University Heights-Morris Heights                                          
B479,B,B03,19,Lefferts Place Block Association,162 Lefferts Place,0.068,DPR,,Active,40.6806,-73.957474,11238,227,3000000,3020200019,Clinton Hill                                                               
M346,M,M11,8,"Life Spire (CRMD, Inc.)",2015 Lexington Avenue,0.02,DPR,Harlem,Active,40.802809,-73.938552,10035,196,1000000,1017710121,East Harlem North                                                          
B480,B,B09,40,Lincoln Road Garden,316 Lincoln Road,0.065,DPR,,Active,40.661467,-73.952239,11225,800,       ,          ,Prospect Lefferts Gardens-Wingate                                          
NA,B,B06,33,Lincoln-Berkeley Comm. Garden,20 Lincoln Place,0.064,TPL,Park Slope,between 5th & 6th Street,40.677378,-73.978845,11217,131,3000000,3009500016,Park Slope-Gowanus                                                         
NA,Q,Q12,27,Linden Boulevard Community Garden,178th Street & Linden Boulevard,0.013,NYRP,,At traingle 115th Avenue,,,,,,,
NA,B,B04,34,Linden-Bushwick Garden,113 Linden Street,0.244,PRI,Bushwick,Broadway & Bushwick Avenues,40.693162,-73.919649,11221,417,3076110,3033230060,Bushwick South                                                             
NA,M,M11,9,Little Blue House,1675 Madison Avenue,0.024,HPD,East Harlem,111 Street,40.796976,-73.947034,10029,17402,1000000,1016170122,East Harlem South                                                          
M326,M,M03,1,Liz Christy Garden,110 E Houston Street,1.09,DPR,Lower East Side,Active,40.723832,-73.991576,10002,3602,1000000,1004560001,East Village                                                               
NA,Q,Q01,0,Long Island City Roots Community Garden,47th Avenue.,NA,MTA,,29th & 30th Streets,,,,,,,
M357,M,M03,,Los Amigos,221 East 3rd Street,0.061,DPR,Lower East Side,Active,40.722453,-73.982423,10009,2601,1088347,1003860060,Lower East Side                                                            
NA,M,M11,8,Los Amigos Garden,326 Pleasant Avenue,0.045,NYRP,East Harlem,,40.796043,-73.932422,10035,178,1076407,1017160050,East Harlem North                                                          
M361,M,M03,2,Lower East Side Ecology Center,213 E. 7th Street,0.15,DPR,East Village,Active,40.724508,-73.979851,10009,2602,1000000,1003900046,Lower East Side                                                            
NA,M,M03,1,Lower East Side People Care,25 Rutgers Street,0.046,TPL,Lower East Side,Henry & Madison,40.712962,-73.990026,10002,6,1000000,1002710063,Lower East Side                                                            
NA,M,M03,0,M.S. 131,"100 Hester Street  NY, NY 10002",0.018,DOE,Lower East Side,Forsyth & Eldridge,40.716553,-73.993092,10002,16,1082489,1003010003,Chinatown                                                                  
NA,X,X11,13,M.S. 144,2545 Gunther Avenue,0.459,DOE,,,40.863735,-73.83607,10469,310,2053518,2044930001,Allerton-Pelham Gardens                                                    
NA,Q,Q09,0,M.S. 210 - YMCA Beacon Center Garden,"93-11 101st Street, Ozone Park, NY 11416",NA,DOE,Ozone Park,93rd & 94th streets,,,,,,,
NA,B,B08,35,M.S. 340,227 Sterling Place,NA,DOE,Prospect Heights,Corner Vanderbuilt & Flatbush Avenue,40.676094,-73.97038,11238,163,3029060,3011640057,Prospect Heights                                                           
NA,B,B09,41,M.S. 391 Mahalia Jackson,790 East New York Avenue,NA,DOE,,,40.662447,-73.936382,11203,876,3107129,3048060001,Prospect Lefferts Gardens-Wingate                                          
NA,M,N/A,0,M.S. 54 - Booker T Washington Garden,103 West 108th Street,NA,DOE,East Harlem,Columbus & Amsterdam Avenue,40.80069,-73.962238,10025,193,1056004,1018630026,Morningside Heights                                                        
NA,B,B09,40,M.S. 61 -  Atwell,400 Empire Boulevard.,NA,DOE,,,40.664007,-73.94922,11225,329,3337872,3013160015,Prospect Lefferts Gardens-Wingate                                          
B499,B,B03,41,Madison Community GreenThumb Garden,894 Madison Street,0.057,DPR,,Active,40.687995,-73.922006,11221,375,3000000,3014830027,Stuyvesant Heights                                                         
B481,B,B04,37,Madison Square Garden,1262-1264 Madison Street,0.165,DPR,,Active,40.694952,-73.913174,11221,435,3000000,3033700025,Bushwick North                                                             
NA,B,B04,34,Madison Street Association,974 Madison Street,0.041,NYRP,,,40.688959,-73.919063,11221,397,3000000,3033660023,Bushwick South                                                             
B482,B,B03,36,Madison Street Block Association,88-90 Madison Street,0.039,DPR,,Active,40.684145,-73.955485,11216,229,3000000,3019900014,Clinton Hill                                                               
NA,M,M09,7,Maggies Garden,564 West 149th Street,0.075,NYRP,Washington Heights,Amsterdam & Broadway,40.828472,-73.947418,10031,233,1000000,1020800058,Hamilton Heights                                                           
M327,M,M11,8,Maggies Garden (formerly Ebenezer Wesleyan Methodist Church Garden),1574 Lexington Avenue,0.057,DPR,East Harlem,Active,40.788624,-73.948933,10029,166,1000000,1016280015,East Harlem South                                                          
NA,M,M11,8,Magic Garden,1665-71 Park Avenue,0.207,HPD,East Harlem,117-118th Street,40.800245,-73.942524,10035,182,1000000,1016450003,East Harlem North                                                          
NA,Q,Q03,21,Malcom X Day Care Center,111-26 Northern Boulevard.,0.046,TPL,,111th ST & 112th ST,40.757942,-73.858287,11368,381,4000000,4017260014,North Corona                                                               
NA,B,B08,36,MaMa Dee's Garden,1397 Bedford Avenue,0.072,TPL,Crown Heights,,40.675251,-73.953404,11216,221,3000000,3012250010,Crown Heights North                                                        
B483,B,B05,37,Manleys Place,2539 Pitkin Avenue,0.28,DPR,East New York,Active,40.674461,-73.878498,11208,1192,3000000,3040070040,East New York                                                              
NA,X,X09,17,Manor Avenue Seniors Garden,1025 Manor Avenue,0.057,TPL,,Bruckner Blvd & Watson,40.824911,-73.875459,10472,5001,2023551,2037160057,Soundview-Bruckner                                                         
B510,B,B16,41,Marcus Garvey Tenants Association,Strauss Street/N/O Pitkin Avenue,0.23,DPR,Brownsville,Active,,,,,,,
M297A,M,M10,9,Margrichantie Memorial Garden,155-159 W. 133rd Street,0.171,DPR,,Active,40.813563,-73.943564,10030,226,1000000,1019180011,Central Harlem North-Polo Grounds                                          
NA,X,X10,0,Maritime Academy @ P.S. 10,"2770 Lafayette Avenue, Bronx, NY 10465",NA,DOE,Schuylerville,Brinsmade Avenue & Cross Bronx Expressway,,,     ,,2080231,2055470001,                                                                           
NA,Q,Q03,21,McIntosh Neighborhood Assoc.,S/E/C 100th Street & McIntosh Street,0.127,TPL,,27th Avenue & 25th Avenue,,,,,,,
Q493,Q,Q12,28,McKinleys Childrens Garden,108-56 Union Hall Street,0.091,DPR,Jamaica,Active,40.695304,-73.791536,11433,254,4000000,4101490070,South Jamaica                                                              
NA,B,B16,16,McLeods Community Garden (formerly Powell Street Block Association - Liberty Ave),130 Liberty Avenue,0.257,NYRP,,Sackman & Powell Streets.,40.673067,-73.905437,11212,908,3326764,3036940016,Brownsville                                                                
NA,X,X01,17,Members Group (Dalia Group Garden),724 Courtlandt Avenue,0.057,NYRP,Melrose,E 156th & E 157th,40.820733,-73.917663,10451,69,2001728,2024020004,Melrose South-Mott Haven North                                             
NA,Q,Q12,27,"Merrick-Marsden Neighbors Association., Inc.",11818-11820 Merrick Boulevard.,0.046,TPL,,119th Avenue,,,,,,,
M105A,M,M02,3,Mfinda Kalunga Garden,Rivington Street Crossover (in Sarah Roosevelt Park),NA,DPR,East Village,Active,,,,,,,
NA,X,X02,18,Mildred T. Rhodebeck Garden (Garden of Eden),927 Faile Street,0.193,NYRP,,N/W corner of Bruckner Boulevard & Faile Street,40.821522,-73.889293,10459,119,2125430,2027460053,Hunts Point                                                                
X329,X,X06,15,Miracle Garden - Bronx,Marmion Avenue,0.11,DPR,,Active,,,,,,,
